Media Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
ABC News,Chaotic crowd video shows the moment PETA animal rights activists stormed a Crufts dog show prize ceremony in Birmi… https://t.co/5Lk8Qk8I2A,Mon Mar 12 11:57:23 +0000 2018,0.0258,0.14,0.723,0.136,86
ABC News,"RT @GMA: White House unveils new gun safety plan, as students around the country plan  a walk-out. @TomLlamasABC has the story https://t.co…",Mon Mar 12 11:54:01 +0000 2018,0.1027,0.116,0.785,0.099,87
ABC News,Arizona border officer falsely claimed he was born in the US to illegally obtain a job with US Customs and Border P… https://t.co/KDJ448Pv2w,Mon Mar 12 11:44:35 +0000 2018,0.0,0.0,1.0,0.0,88
ABC News,"Pres. Trump launched his planned 2020 election campaign slogan at a weekend rally in Pennsylvania: ""Keep America Gr… https://t.co/BeOXeiKPQm",Mon Mar 12 11:28:28 +0000 2018,0.128,0.081,0.919,0.0,89
ABC News,"RT @GMA: A helicopter crash in Manhattan's East River kills all 5 passengers, but the pilot was able to escape. @GioBenitez has the story:…",Mon Mar 12 11:11:54 +0000 2018,-0.2617,0.082,0.755,0.163,90
ABC News,"All 5 passengers died after a helicopter crashed into Manhattan's East River Sunday evening.

The pilot ""freed hims… https://t.co/ziZgzJ7NMU",Mon Mar 12 11:11:20 +0000 2018,-0.2263,0.127,0.704,0.169,91
ABC News,"In a tight House race, Republican Rick Saccone leans on Trump and his base. 

He needs the residents of Pennsylvani… https://t.co/6ZPSXcl676",Mon Mar 12 11:07:05 +0000 2018,0.0,0.0,1.0,0.0,92
ABC News,"At least 38 people have been killed, 23 injured and 10 people are unaccounted for after a passenger plane attemptin… https://t.co/eyX5cE3D4y",Mon Mar 12 11:07:02 +0000 2018,-0.802,0.0,0.714,0.286,93
ABC News,"Defense Sec. James Mattis says that diplomacy with North Korea is at a delicate stage: ""I do not want to talk about… https://t.co/XJV43jdExG",Mon Mar 12 10:51:34 +0000 2018,0.1225,0.118,0.829,0.053,94
ABC News,Cellphone video captures chaotic scene after suspected hit-and-run crash in South Florida. Police say no one was in… https://t.co/0uec6gylem,Mon Mar 12 10:47:31 +0000 2018,-0.8402,0.0,0.6,0.4,95
ABC News,LATEST: More detail has emerged about the five passengers killed in last night's Manhattan helicopter crash. Four w… https://t.co/vch9CRZZqY,Mon Mar 12 10:47:29 +0000 2018,-0.802,0.0,0.702,0.298,96
ABC News,"Passenger jet attempting to land at Kathmandu International Airport in Nepal skidded off a runway, crashed and burs… https://t.co/B5UEsx1YVk",Mon Mar 12 10:37:57 +0000 2018,0.0,0.0,1.0,0.0,97
