Media Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
BBC News (UK),Ministers reject 'latte levy' on cups https://t.co/LrlRXJD7NK,Fri Mar 09 05:28:01 +0000 2018,-0.4019,0.0,0.69,0.31,86
BBC News (UK),M25 rapist Antoni Imiela dies in prison aged 63 https://t.co/bozvKbP5RL,Fri Mar 09 05:27:58 +0000 2018,-0.8481,0.0,0.494,0.506,87
BBC News (UK),UK parents help less with homework https://t.co/HsDZOMLEBF,Fri Mar 09 02:54:48 +0000 2018,0.4019,0.31,0.69,0.0,88
BBC News (UK),Poor rural Victorians 'had best diet' https://t.co/z45F0ei9MW,Fri Mar 09 02:36:42 +0000 2018,0.2732,0.341,0.407,0.252,89
BBC News (UK),Wagamama fined for failing to pay the minimum wage https://t.co/MZDiPxknLR,Fri Mar 09 01:55:42 +0000 2018,-0.5719,0.0,0.63,0.37,90
BBC News (UK),Building Stonehenge 'may have been ceremonial celebration' https://t.co/blTbWsqvXS,Fri Mar 09 01:31:06 +0000 2018,0.0,0.0,1.0,0.0,91
BBC News (UK),Cheddar Gorge abseiling team's 'extreme spring clean' https://t.co/8jGUPuTbJW,Fri Mar 09 01:31:06 +0000 2018,0.4019,0.278,0.722,0.0,92
BBC News (UK),Cardiff Bay Toys R Us store site 'to become beach' https://t.co/WnmW1UEsJN,Fri Mar 09 01:31:06 +0000 2018,0.0,0.0,1.0,0.0,93
BBC News (UK),Drive to boost red squirrel numbers in Denbighshire https://t.co/t4vlvRHS1Q,Fri Mar 09 01:31:06 +0000 2018,0.4019,0.252,0.748,0.0,94
BBC News (UK),Barry McElduff questioned over Kingsmill video https://t.co/TIugy9CLRX,Fri Mar 09 01:21:48 +0000 2018,-0.1027,0.0,0.811,0.189,95
BBC News (UK),NI budget to include £410m from DUP deal https://t.co/36Tq82mc0o,Fri Mar 09 01:21:48 +0000 2018,0.0,0.0,1.0,0.0,96
BBC News (UK),House of Commons Speaker John Bercow named in bullying claims https://t.co/Oil0npaXeX,Fri Mar 09 01:08:52 +0000 2018,-0.5994,0.0,0.719,0.281,97
BBC News (UK),"Friday's Daily Mirror: ""M25 rapist is dead"" 
#tomorrowspaperstoday #bbcpapers
(via@hendopolis)
https://t.co/WrEtG5WOn6",Thu Mar 08 22:37:52 +0000 2018,-0.8807,0.0,0.495,0.505,98
BBC News (UK),"Friday's The Times: ""Traitors are not safe on British soil says Russia"" #tomorrowspaperstoday 
#bbcpapers
(via@hend… https://t.co/n4xXnQc2FR",Thu Mar 08 22:36:35 +0000 2018,-0.3412,0.0,0.862,0.138,99
BBC News (UK),"Friday's The Guardian: ""Ministers set to offer NHS staff 6.5% rise"" #tomorrowspaperstoday #bbcpapers
(via@hendopoli… https://t.co/NgR2ndpYCM",Thu Mar 08 22:36:18 +0000 2018,0.0,0.0,1.0,0.0,100
CBS,RT @DierksBentley: Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post for a…,Fri Mar 09 22:48:26 +0000 2018,0.4926,0.117,0.883,0.0,1
CBS,"RT @MomCBS: If you missed guest star @KChenoweth in the latest episode of #Mom, not to worry! Watch now: https://t.co/RlvXoGOZ0l https://t.…",Fri Mar 09 22:24:20 +0000 2018,0.1275,0.113,0.795,0.092,2
CBS,"Give a round of applause to @KelseaBallerini, @MirandaLambert, @Reba, @MarenMorris, and @CarrieUnderwood, the five… https://t.co/Ncp1BTXx6N",Fri Mar 09 21:10:21 +0000 2018,0.4215,0.177,0.823,0.0,3
CBS,"RT @thegoodfight: Smart, sexy, and sophisticated. See what's coming this season on #TheGoodFight. https://t.co/CuKhx2G50P https://t.co/ygTI…",Fri Mar 09 18:27:28 +0000 2018,0.8658,0.447,0.553,0.0,4
CBS,RT @BlueBloods_CBS: Even stand-up guys fall down sometimes. #BlueBloods is new tonight at 10/9c! https://t.co/UOlDm22wWW,Fri Mar 09 16:02:27 +0000 2018,0.0,0.0,1.0,0.0,5
CBS,Today and every day we celebrate the women in our lives who empower and inspire us. Share a story about an influent… https://t.co/9rVtqrElvT,Thu Mar 08 18:00:49 +0000 2018,0.8625,0.336,0.664,0.0,6
CBS,Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post… https://t.co/7ShhvE48zy,Thu Mar 08 17:03:04 +0000 2018,0.4926,0.132,0.868,0.0,7
CBS,"RT @thegoodfight: Meticulously constructed. Soapy &amp; sexy. Intoxicating, savage television. 🔥 Here's what critics are saying about #TheGoodF…",Wed Mar 07 18:39:10 +0000 2018,-0.2023,0.15,0.619,0.23,8
CBS,"This just in! @Jason_Aldean, @mirandalambert, @LukeBryanOnline, and many more are set to perform at the 53rd Academ… https://t.co/mfxw2VxzU4",Wed Mar 07 17:06:02 +0000 2018,0.0,0.0,1.0,0.0,9
CBS,"Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access:… https://t.co/QoyYv7vxwg",Tue Mar 06 18:10:59 +0000 2018,0.6705,0.244,0.756,0.0,10
CBS,"Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Yea… https://t.co/rMD8zjeX3s",Mon Mar 05 22:16:43 +0000 2018,0.3818,0.167,0.833,0.0,11
CBS,"RT @thegoodfight: It feels good to be back. 👠💄🔥 The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…",Sun Mar 04 08:05:26 +0000 2018,0.4404,0.116,0.884,0.0,12
CBS,"RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…",Sat Mar 03 20:55:20 +0000 2018,0.0,0.0,1.0,0.0,13
CBS,"Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebratin… https://t.co/M0KqZ41Bes",Fri Mar 02 22:30:01 +0000 2018,0.7096,0.247,0.753,0.0,14
CBS,"Join @maria_bello, @aishatyler and @TeaLeoni in celebrating the accomplishments of women who have contributed to th… https://t.co/MefESBeFL3",Fri Mar 02 20:30:01 +0000 2018,0.7096,0.282,0.718,0.0,15
CBS,"In honor of Women's History Month, CBS and the Association of National Advertisers' (ANA) #SeeHer initiative will p… https://t.co/2wtYxKJVuO",Fri Mar 02 18:45:00 +0000 2018,0.4939,0.151,0.849,0.0,16
CBS,RT @ZoeListerJones: Tonight’s an all new Life In Pieces and it’s directed by my ride or die @nataliaanderson!!!… https://t.co/2LPfmyLWrY,Thu Mar 01 18:59:01 +0000 2018,-0.6981,0.0,0.79,0.21,17
CBS,"RT @MarenMorris: Hot damn! Woke up from my post-wisdom teeth haze to find out I’m up for 4 @ACMawards ! So honored, especially for the Dear…",Thu Mar 01 18:12:57 +0000 2018,0.4547,0.159,0.749,0.092,18
